priority_order,device_id,speed_percent,file_path,expected_label,predicted_label,status,confidence,second_label,probability_margin,window_count,window_consistency,warning_count,visualization_complete,word_export_ok
1,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀5/振动_电机4_70_时域-出口汽蚀5-通道4.csv,汽蚀,汽蚀,diagnosed,0.999999705701,转子不平衡,1.0,119,1.0,714,True,True
1,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀3/振动_电机4_70_时域-出口汽蚀3-通道4.csv,汽蚀,汽蚀,diagnosed,0.999999611406,转子不平衡,1.0,119,1.0,714,True,True
2,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵轴承故障2/振动_电机2_100_时域-泵轴承故障2-通道4.csv,轴承故障,轴承故障,diagnosed,0.999994567274,松动,1.0,119,1.0,714,True,True
5,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/平行不对中4/振动_电机4_70_时域-平行不对中4-通道4.csv,联轴器不对中,联轴器不对中,diagnosed,0.999991207511,松动,1.0,119,1.0,714,True,True
1,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀4/振动_电机4_70_时域-出口汽蚀4-通道4.csv,汽蚀,汽蚀,diagnosed,0.999947838832,转子不平衡,1.0,119,1.0,714,True,True
6,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态1/振动_电机2_100_时域-正常状态1-通道4.csv,正常,正常,diagnosed,0.9997912673,轴承故障,1.0,119,1.0,714,True,True
5,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/组合不对中3/振动_电机4_70_时域-组合不对中3-通道4.csv,联轴器不对中,联轴器不对中,diagnosed,0.999691300689,松动,0.999,119,1.0,714,True,True
2,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/轴承内圈故障1/振动_电机2_100_时域-轴承内圈故障1-通道4.csv,轴承故障,轴承故障,diagnosed,0.999564641602,正常,0.999,119,1.0,714,True,True
5,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/组合不对中1/振动_电机4_70_时域-组合不对中1-通道4.csv,联轴器不对中,联轴器不对中,diagnosed,0.999158658206,转子不平衡,0.998,119,1.0,714,True,True
5,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/平行不对中3/振动_电机4_70_时域-平行不对中3-通道4.csv,联轴器不对中,联轴器不对中,diagnosed,0.99889065443,松动,0.998,119,1.0,714,True,True
1,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀2/振动_电机4_70_时域-出口汽蚀2-通道4.csv,汽蚀,汽蚀,diagnosed,0.996196454945,联轴器不对中,0.992,119,1.0,714,True,True
3,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/电机地脚松动/振动_电机2_100_时域-电机地脚松动-通道4.csv,松动,松动,diagnosed,0.995833616161,正常,0.993,119,1.0,714,True,True
2,Motor-2,100,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵轴承故障1/振动_电机2_100_时域-泵轴承故障1-通道4.csv,轴承故障,轴承故障,diagnosed,0.991636228703,正常,0.983,119,0.992,714,True,True
1,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/吸入口汽蚀3/振动_电机4_70_时域-吸入口汽蚀3-通道4.csv,汽蚀,汽蚀,diagnosed,0.986642874462,转子不平衡,0.977,119,0.992,714,True,True
5,Motor-4,70,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/组合不对中4/振动_电机4_70_时域-组合不对中4-通道4.csv,联轴器不对中,联轴器不对中,diagnosed,0.976052608893,松动,0.955,119,0.975,714,True,True
