figure_id,device,fault_label,figure_type,source_file,record_index,time_segment,processing_params,png_path,pdf_path,csv_path
motor-2_normal_time_waveform,Motor-2,正常,time_waveform,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态3/振动_电机2_100_时域-正常状态3-通道4.csv,1,0.0-1.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/time_waveform/motor-2_normal_time_waveform.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/time_waveform/motor-2_normal_time_waveform.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_normal_time_waveform.csv
motor-2_normal_fft_low,Motor-2,正常,fft_low,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态3/振动_电机2_100_时域-正常状态3-通道4.csv,1,0.0-12.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/fft_low/motor-2_normal_fft_low.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/fft_low/motor-2_normal_fft_low.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_normal_fft_low.csv
motor-2_normal_fft_full,Motor-2,正常,fft_full,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态3/振动_电机2_100_时域-正常状态3-通道4.csv,1,0.0-12.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/fft_full/motor-2_normal_fft_full.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/fft_full/motor-2_normal_fft_full.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_normal_fft_full.csv
motor-2_normal_envelope_spectrum,Motor-2,正常,envelope_spectrum,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态3/振动_电机2_100_时域-正常状态3-通道4.csv,1,0.0-12.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/envelope_spectrum/motor-2_normal_envelope_spectrum.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/envelope_spectrum/motor-2_normal_envelope_spectrum.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_normal_envelope_spectrum.csv
motor-2_normal_wavelet_bar,Motor-2,正常,wavelet_bar,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态3/振动_电机2_100_时域-正常状态3-通道4.csv,1,0.0-12.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/wavelet_bar/motor-2_normal_wavelet_bar.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/wavelet_bar/motor-2_normal_wavelet_bar.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_normal_wavelet_bar.csv
motor-2_looseness_time_waveform,Motor-2,松动,time_waveform,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵地脚松动/振动_电机2_100_时域-泵地脚松动-通道4.csv,14,0.0-1.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/time_waveform/motor-2_looseness_time_waveform.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/time_waveform/motor-2_looseness_time_waveform.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_looseness_time_waveform.csv
motor-2_looseness_fft_low,Motor-2,松动,fft_low,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵地脚松动/振动_电机2_100_时域-泵地脚松动-通道4.csv,14,0.0-12.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/fft_low/motor-2_looseness_fft_low.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/fft_low/motor-2_looseness_fft_low.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_looseness_fft_low.csv
motor-2_looseness_fft_full,Motor-2,松动,fft_full,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵地脚松动/振动_电机2_100_时域-泵地脚松动-通道4.csv,14,0.0-12.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/fft_full/motor-2_looseness_fft_full.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/fft_full/motor-2_looseness_fft_full.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_looseness_fft_full.csv
motor-2_looseness_envelope_spectrum,Motor-2,松动,envelope_spectrum,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵地脚松动/振动_电机2_100_时域-泵地脚松动-通道4.csv,14,0.0-12.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/envelope_spectrum/motor-2_looseness_envelope_spectrum.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/envelope_spectrum/motor-2_looseness_envelope_spectrum.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_looseness_envelope_spectrum.csv
motor-2_looseness_wavelet_bar,Motor-2,松动,wavelet_bar,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/泵地脚松动/振动_电机2_100_时域-泵地脚松动-通道4.csv,14,0.0-12.0 s,device=Motor-2; fs=20000->12000 Hz; bandpass=5.0-5000.0 Hz; envelope_band=1000.0-5000.0 Hz; wavelet=db6; level=3; 1X=24.67 Hz,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/wavelet_bar/motor-2_looseness_wavelet_bar.png,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/wavelet_bar/motor-2_looseness_wavelet_bar.pdf,/Users/hewenhao/Documents/特征提取/实验结果/fault_feature_visualization/Motor-2/csv/motor-2_looseness_wavelet_bar.csv
